ticker,fiscal_quarter,fiscal_period_end,revenue,operating_margin,employee_count,source_name,available_at
MSFT,2025Q1,2025-03-31,62000,0.43,228000,synthetic,2025-04-25
MSFT,2025Q2,2025-06-30,64500,0.44,229000,synthetic,2025-07-25
MSFT,2025Q3,2025-09-30,67000,0.45,230000,synthetic,2025-10-25
MSFT,2025Q4,2025-12-31,70000,0.46,231000,synthetic,2026-01-25
WMT,2025Q1,2025-03-31,160000,0.041,2100000,synthetic,2025-04-25
WMT,2025Q2,2025-06-30,164000,0.042,2095000,synthetic,2025-07-25
WMT,2025Q3,2025-09-30,170000,0.044,2090000,synthetic,2025-10-25
WMT,2025Q4,2025-12-31,175000,0.045,2085000,synthetic,2026-01-25
BLK,2025Q1,2025-03-31,4800,0.36,20000,synthetic,2025-04-25
BLK,2025Q2,2025-06-30,4950,0.37,20100,synthetic,2025-07-25
BLK,2025Q3,2025-09-30,5150,0.375,20200,synthetic,2025-10-25
BLK,2025Q4,2025-12-31,5300,0.38,20300,synthetic,2026-01-25
JPM,2025Q1,2025-03-31,42000,0.34,310000,synthetic,2025-04-25
JPM,2025Q2,2025-06-30,43000,0.345,311000,synthetic,2025-07-25
JPM,2025Q3,2025-09-30,44500,0.35,312000,synthetic,2025-10-25
JPM,2025Q4,2025-12-31,45500,0.355,313000,synthetic,2026-01-25
UNH,2025Q1,2025-03-31,99000,0.085,440000,synthetic,2025-04-25
UNH,2025Q2,2025-06-30,100000,0.084,441000,synthetic,2025-07-25
UNH,2025Q3,2025-09-30,101500,0.086,442000,synthetic,2025-10-25
UNH,2025Q4,2025-12-31,103000,0.087,443000,synthetic,2026-01-25
