ticker,price_date,adjusted_close,volume,source_name,available_at
MSFT,2025-03-31,410.0,22000000,synthetic,2025-03-31
MSFT,2025-06-30,440.0,23000000,synthetic,2025-06-30
MSFT,2025-09-30,470.0,21000000,synthetic,2025-09-30
MSFT,2025-12-31,490.0,25000000,synthetic,2025-12-31
MSFT,2026-03-31,515.0,24000000,synthetic,2026-03-31
WMT,2025-03-31,60.0,16000000,synthetic,2025-03-31
WMT,2025-06-30,62.0,17000000,synthetic,2025-06-30
WMT,2025-09-30,67.0,18000000,synthetic,2025-09-30
WMT,2025-12-31,70.0,17500000,synthetic,2025-12-31
WMT,2026-03-31,72.0,16500000,synthetic,2026-03-31
BLK,2025-03-31,830.0,900000,synthetic,2025-03-31
BLK,2025-06-30,845.0,880000,synthetic,2025-06-30
BLK,2025-09-30,890.0,920000,synthetic,2025-09-30
BLK,2025-12-31,910.0,950000,synthetic,2025-12-31
BLK,2026-03-31,935.0,970000,synthetic,2026-03-31
JPM,2025-03-31,205.0,11000000,synthetic,2025-03-31
JPM,2025-06-30,210.0,11500000,synthetic,2025-06-30
JPM,2025-09-30,221.0,11800000,synthetic,2025-09-30
JPM,2025-12-31,230.0,12000000,synthetic,2025-12-31
JPM,2026-03-31,236.0,11900000,synthetic,2026-03-31
UNH,2025-03-31,500.0,3500000,synthetic,2025-03-31
UNH,2025-06-30,492.0,3600000,synthetic,2025-06-30
UNH,2025-09-30,505.0,3550000,synthetic,2025-09-30
UNH,2025-12-31,512.0,3700000,synthetic,2025-12-31
UNH,2026-03-31,520.0,3650000,synthetic,2026-03-31
